Region,Total Inventory (MW),Under Construction (MW)
"Northern Virginia, United States",3442.0,651
"Chicago, United States",836.2,310.1
"Tokyo, Japan",908.0,228
"London, United Kingdom",905.7,121.7
Singapore,1000.0,0
"Dallas–Fort Worth, United States",734.4,182.1
"Hong Kong, China",577.0,293
"Phoenix, United States",587.0,267
"Northwest, United States",587.8,200.6
"Frankfurt, Germany",587.8,148.2
"Sydney, Australia",572.0,122
"Atlanta, United States",350.0,172
"Amsterdam, The Netherlands",447.6,59.2
"Campinas, Brazil",317.0,140
"Paris, France",349.3,84.4
"Kuala Lumpur, Malaysia",211.0,212
"New Jersey, United States",410.0,12
"Dublin, Ireland",186.8,79.1
"Chennai, India",86.0,52
"Madrid, Spain",84.4,35
"Querétaro, Mexico",70.0,N/A
