variable,universe,usProp,ALProp,AKProp,AZProp,ARProp,CAProp,COProp,CTProp,DEProp,DCProp,FLProp,GAProp,HIProp,IDProp,ILProp,INProp,IAProp,KSProp,KYProp,LAProp,MEProp,MDProp,MAProp,MIProp,MNProp,MSProp,MOProp,MTProp,NEProp,NVProp,NHProp,NJProp,NMProp,NYProp,NCProp,NDProp,OHProp,OKProp,ORProp,PAProp,RIProp,SCProp,SDProp,TNProp,TXProp,UTProp,VTProp,VAProp,WAProp,WVProp,WIProp,WYProp,date
homeEverOnline,noInternetAtHome,0.126507,0.188867,0.134832,0.098983,0.094807,0.126542,0.154985,0.09539,0.061776,0.107058,0.157117,0.15569,0.114903,0.178501,0.113911,0.101925,0.179866,0.112649,0.096768,0.121448,0.125177,0.116324,0.062865,0.148162,0.149246,0.10685,0.217317,0.131612,0.157372,0.07753,0.165265,0.091169,0.100523,0.062212,0.090649,0.139777,0.135934,0.142264,0.25847,0.117537,0.163424,0.136735,0.155527,0.099093,0.162585,0.188283,0.241126,0.079484,0.122111,0.075729,0.097616,0.14065,2011-07-01
canUseElsewhereMainReason,noInternetAtHome,0.031429,0.044869,0.072251,0.01449,0.036842,0.031531,0.058708,0.025217,0.036817,0.041747,0.019147,0.0373,0.021538,0.056865,0.04702,0.029351,0.036015,0.045828,0.022037,0.047962,0.032782,0.024364,0.035731,0.015702,0.040499,0.048032,0.030331,0.03698,0.029813,0.0632,0.043254,0.020843,0.039142,0.019247,0.024136,0.025558,0.025192,0.06677,0.012151,0.029466,0.0202,0.046696,0.045555,0.024559,0.037594,0.031572,0.049504,0.024406,0.022865,0.024172,0.029957,0.023766,2011-07-01
noNeedInterestMainReason,noInternetAtHome,0.475591,0.542572,0.424328,0.488978,0.471661,0.383798,0.413252,0.523785,0.508553,0.37941,0.448744,0.400824,0.502807,0.360422,0.509102,0.509464,0.496585,0.513376,0.520192,0.58748,0.51241,0.474372,0.538269,0.471739,0.548559,0.484963,0.44444,0.501524,0.525101,0.424013,0.5344,0.558989,0.441793,0.587113,0.410599,0.489223,0.52858,0.477098,0.382173,0.534788,0.524199,0.452886,0.478237,0.419918,0.427636,0.533448,0.520279,0.518105,0.376517,0.564914,0.490418,0.520927,2011-07-01
noComputerMainReason,noInternetAtHome,0.127621,0.094024,0.08613,0.087641,0.094907,0.167769,0.121559,0.148028,0.103507,0.141862,0.147268,0.163999,0.168816,0.122921,0.098885,0.12497,0.148045,0.09064,0.091667,0.134012,0.126573,0.13326,0.134411,0.133699,0.080419,0.046941,0.174521,0.106593,0.161818,0.193139,0.110566,0.136094,0.109452,0.094384,0.097779,0.125504,0.145024,0.08132,0.210677,0.108199,0.082282,0.121206,0.111162,0.127972,0.149119,0.114038,0.075757,0.086233,0.174691,0.067245,0.107571,0.091302,2011-07-01
unavailableMainReason,noInternetAtHome,0.008704,0.041968,0.073139,0.031222,0.01729,0.007452,0.0,0.003382,0.0,0.0,0.0,0.010221,0.0,0.014661,0.0,0.006496,0.003403,0.012173,0.007093,0.0,0.01501,0.009583,0.0,0.002895,0.010784,0.009051,0.0,0.005654,0.003655,0.004612,0.014538,0.01928,0.086679,0.004051,0.002567,0.018761,0.002018,0.015864,0.010751,0.007869,0.0,0.007489,0.004516,0.014262,0.007397,0.008876,0.028233,0.013841,0.015104,0.016022,0.006853,0.014629,2011-07-01
privSecMainReason,noInternetAtHome,0.005505,0.003749,0.007968,0.005066,0.008085,0.010027,0.015572,0.0,0.00883,0.032561,0.005247,0.012191,0.013044,0.00606,0.005249,0.008305,0.002715,0.0,0.007662,0.0,0.0,0.0,0.0,0.002438,0.003426,0.0,0.009887,0.00432,0.003983,0.0,0.0,0.0,0.033716,0.001166,0.002232,0.026186,0.009379,0.004409,0.0,0.005847,0.0,0.0,0.0,0.008046,0.004196,0.023386,0.003912,0.0,0.0,0.004084,0.006676,0.0,2011-07-01
tooExpensiveMainReason,noInternetAtHome,0.279238,0.22912,0.248885,0.291295,0.272556,0.301911,0.327928,0.2458,0.263697,0.317451,0.32768,0.304605,0.21608,0.352868,0.269427,0.295798,0.237228,0.29795,0.290872,0.19586,0.216664,0.281176,0.227947,0.299777,0.225487,0.356909,0.261451,0.305287,0.185893,0.271973,0.236207,0.226094,0.247878,0.214691,0.365114,0.183093,0.24985,0.261544,0.303955,0.248968,0.295244,0.292166,0.305769,0.356556,0.301424,0.167658,0.228241,0.258336,0.30158,0.220689,0.252836,0.26129,2011-07-01
homeEverOnline,noInternetAtHome,0.130062,0.098534,0.118633,0.136789,0.184806,0.144797,0.125102,0.138634,0.133337,0.099946,0.089908,0.168056,0.097663,0.158496,0.104701,0.128059,0.096979,0.146441,0.124576,0.122825,0.16145,0.11464,0.053588,0.146827,0.146149,0.14745,0.161525,0.14919,0.126867,0.099634,0.143689,0.137107,0.071636,0.122928,0.150277,0.155251,0.137995,0.15503,0.188716,0.109934,0.077541,0.140679,0.081512,0.141487,0.134756,0.094472,0.181734,0.128238,0.139763,0.151841,0.118721,0.149384,2012-10-01
canUseElsewhereMainReason,noInternetAtHome,0.031583,0.018782,0.069959,0.037235,0.015462,0.040807,0.044354,0.063287,0.019252,0.03668,0.027484,0.022269,0.050949,0.060181,0.013952,0.024735,0.026077,0.030075,0.035622,0.05673,0.022118,0.035486,0.023828,0.018263,0.038542,0.003946,0.013485,0.059691,0.030462,0.033348,0.057023,0.044663,0.063194,0.018811,0.03246,0.055518,0.028626,0.041437,0.030397,0.019251,0.008507,0.053703,0.03894,0.040071,0.041676,0.064221,0.021427,0.023855,0.022654,0.031118,0.034476,0.024018,2012-10-01
noNeedInterestMainReason,noInternetAtHome,0.484823,0.620192,0.372714,0.460965,0.49822,0.421695,0.404931,0.570826,0.534917,0.370909,0.474035,0.457874,0.492433,0.397631,0.536915,0.4967,0.460774,0.508746,0.507364,0.564387,0.493831,0.494894,0.56212,0.47234,0.536109,0.469834,0.43613,0.458164,0.497165,0.445509,0.488692,0.504303,0.494381,0.571744,0.411097,0.461118,0.429563,0.590269,0.412025,0.526964,0.495293,0.496548,0.547361,0.428028,0.441381,0.423748,0.464376,0.564333,0.398402,0.563613,0.556618,0.526051,2012-10-01
